City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kavaratti,IN,81.34,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
4,Vaini,TO,86.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
9,Busselton,AU,83.08,clear sky,-33.65,115.3333,Observatory Guest House
12,Hobart,AU,82.26,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
14,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
21,Bengkulu,ID,83.91,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
25,Butaritari,KI,82.36,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
32,Port Alfred,ZA,76.57,light rain,-33.5906,26.891,The Halyards Hotel
39,San Policarpo,PH,79.86,overcast clouds,12.1791,125.5072,Agapita M. Nicart
40,Mahebourg,MU,83.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
42,Geraldton,AU,86.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
43,Rikitea,PF,79.16,clear sky,-23.1203,-134.9692,People ThankYou
45,Gondanglegi,ID,83.59,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
47,Atuona,PF,78.1,light rain,-9.8,-139.0333,Villa Enata
49,Cap Malheureux,MU,83.46,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
50,Mathbaria,BD,75.63,clear sky,22.2876,89.9593,Shikdar Hotel
53,Carnarvon,AU,89.67,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
56,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
57,Tanabi,BR,75.42,few clouds,-20.6264,-49.6492,Point Hotel em Tanabi - SP
59,Bahile,PH,84.15,overcast clouds,9.9995,118.7878,Nitivos Beach Resort
60,Caravelas,BR,75.6,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
61,Labuhan,ID,83.14,overcast clouds,-6.8844,112.2051,DoubleFAG
66,Porto Novo,BJ,82.22,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
70,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
73,Wanning,CN,75.49,overcast clouds,18.8003,110.3967,Paradise Hotel
75,Faanui,PF,81.36,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
76,Port Lincoln,AU,75.69,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
85,Dingle,PH,86.11,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
86,Samarai,PG,82.87,few clouds,-10.6167,150.6667,Nuli Sapi
88,Touros,BR,79.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
91,Kapaa,US,78.78,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
96,Grand-Lahou,CI,77.97,clear sky,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
102,Acarau,BR,77.2,broken clouds,-2.8856,-40.12,castelo pizzaria
113,Kalmunai,LK,77.04,overcast clouds,7.4167,81.8167,VS Villa
117,Kloulklubed,PW,84.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
125,Manado,ID,79.57,light rain,1.487,124.8455,Aryaduta Hotel
127,Bambanglipuro,ID,85.64,light rain,-7.95,110.2833,Puri Brata
131,Sao Tome,ST,79.63,overcast clouds,0.3365,6.7273,Pestana Miramar São Tomé
132,Quatre Cocos,MU,83.08,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
133,New Norfolk,AU,81.9,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
139,Morondava,MG,82.09,overcast clouds,-20.2833,44.2833,La Case Bambou
140,Kavieng,PG,82.63,light rain,-2.5744,150.7967,Nusa Island Retreat
141,Hithadhoo,MV,81.57,broken clouds,-0.6,73.0833,Scoop Guest House
144,Tual,ID,83.23,light rain,-5.6667,132.75,Grand Vilia Hotel
