City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2022-02-12 23:34:19,-33.65,115.3333,61.09,59,0,12.97
1,Ushuaia,AR,2022-02-12 23:34:19,-54.8,-68.3,47.86,53,20,24.16
2,Atuona,PF,2022-02-12 23:34:20,-9.8,-139.0333,77.7,78,12,11.97
3,Hithadhoo,MV,2022-02-12 23:34:21,-0.6,73.0833,80.98,72,100,11.27
4,Oktyabrskoye,RU,2022-02-12 23:34:21,43.0645,44.7417,26.74,93,7,8.95
5,Hilo,US,2022-02-12 23:34:22,19.7297,-155.09,80.33,57,20,10.36
6,Hermanus,ZA,2022-02-12 23:34:22,-34.4187,19.2345,67.89,82,100,4.85
7,Batagay,RU,2022-02-12 23:34:23,67.6333,134.6333,-24.12,93,85,3.22
8,Ekhabi,RU,2022-02-12 23:34:24,53.5102,142.9671,12.16,90,81,8.28
9,Bredasdorp,ZA,2022-02-12 23:34:15,-34.5322,20.0403,67.32,77,100,2.3
10,Sangar,RU,2022-02-12 23:34:24,63.9242,127.4739,-25.15,99,100,3.33
11,Birao,CF,2022-02-12 23:34:25,10.2849,22.7882,68.67,11,72,7.29
12,Arraial Do Cabo,BR,2022-02-12 23:34:25,-22.9661,-42.0278,74.71,85,38,6.35
13,Yellowknife,CA,2022-02-12 23:32:21,62.456,-114.3525,-9.58,82,75,9.22
14,Ribeira Grande,PT,2022-02-12 23:30:24,38.5167,-28.7,61.45,89,100,15.59
15,Puerto Madryn,AR,2022-02-12 23:34:26,-42.7692,-65.0385,75.11,28,70,11.12
16,Vaini,TO,2022-02-12 23:34:26,-21.2,-175.2,86.16,79,20,11.5
17,San Patricio,US,2022-02-12 23:34:27,28.017,-97.5169,55.81,55,100,22.84
18,La Ronge,CA,2022-02-12 23:34:27,55.1001,-105.2842,-7.35,71,40,6.91
19,Oussouye,SN,2022-02-12 23:34:28,12.485,-16.5469,76.19,20,5,8.25
20,Sitka,US,2022-02-12 23:34:28,57.0531,-135.33,42.69,81,75,4.61
21,Surgut,RU,2022-02-12 23:34:29,61.25,73.4167,-10.91,76,0,8.99
22,Khatanga,RU,2022-02-12 23:34:29,71.9667,102.5,-17.55,86,66,2.84
23,Chokurdakh,RU,2022-02-12 23:34:30,70.6333,147.9167,-2.11,96,100,12.39
24,Yerbogachen,RU,2022-02-12 23:34:30,61.2767,108.0108,-26.1,100,98,1.92
25,Chuy,UY,2022-02-12 23:34:31,-33.6971,-53.4616,68.14,95,98,9.31
26,Bulawayo,ZW,2022-02-12 23:34:31,-20.15,28.5833,62.17,54,8,8.55
27,Ahipara,NZ,2022-02-12 23:34:32,-35.1667,173.1667,70.56,69,75,19.48
28,Zapolyarnyy,RU,2022-02-12 23:34:32,69.4154,30.8136,-1.12,96,10,6.24
29,Kavaratti,IN,2022-02-12 23:34:33,10.5669,72.642,80.44,70,27,7.11
30,Avarua,CK,2022-02-12 23:34:33,-21.2078,-159.775,78.85,78,20,5.75
31,Hobart,AU,2022-02-12 23:34:33,-42.8794,147.3294,70.23,53,75,19.57
32,Vila Franca Do Campo,PT,2022-02-12 23:34:34,37.7167,-25.4333,63.19,88,100,9.95
33,Yamethin,MM,2022-02-12 23:34:34,20.4333,96.15,59.43,43,65,2.93
34,Qaanaaq,GL,2022-02-12 23:34:35,77.484,-69.3632,-19.41,48,0,8.75
35,Punta Arenas,CL,2022-02-12 23:34:35,-53.15,-70.9167,53.71,58,75,18.41
36,Cidreira,BR,2022-02-12 23:34:36,-30.1811,-50.2056,74.86,81,10,22.62
37,Rio Gallegos,AR,2022-02-12 23:31:28,-51.6226,-69.2181,64.45,32,0,23.02
38,Gasa,PS,2022-02-12 23:31:00,31.5,34.4667,51.87,71,0,2.8
39,Morondava,MG,2022-02-12 23:34:37,-20.2833,44.2833,79.95,83,98,3.09
40,Kaitangata,NZ,2022-02-12 23:34:38,-46.2817,169.8464,54.93,80,100,10.31
41,Rikitea,PF,2022-02-12 23:35:38,-23.1203,-134.9692,78.85,71,1,16.42
42,Mahebourg,MU,2022-02-12 23:35:39,-20.4081,57.7,77.29,94,75,3.44
43,Provideniya,RU,2022-02-12 23:35:39,64.3833,-173.3,-5.51,86,11,3.71
44,Puerto Ayora,EC,2022-02-12 23:35:40,-0.7393,-90.3518,77.56,87,89,4.0
45,Panlaitan,PH,2022-02-12 23:35:41,12.1191,119.8486,81.46,76,69,18.43
46,Lundazi,ZM,2022-02-12 23:35:41,-12.2929,33.1782,61.54,94,80,2.68
47,Bluff,NZ,2022-02-12 23:35:42,-46.6,168.3333,52.81,71,100,13.35
48,Mataura,NZ,2022-02-12 23:35:43,-46.1927,168.8643,52.48,88,99,4.36
49,Lewistown,US,2022-02-12 23:35:43,40.5992,-77.5714,41.9,84,75,12.66
50,Salvador,SV,2022-02-12 23:35:43,13.8333,-88.9167,80.64,58,11,2.26
51,Tuatapere,NZ,2022-02-12 23:35:44,-46.1333,167.6833,52.83,65,98,8.84
52,Puro,PH,2022-02-12 23:35:44,12.4841,123.3827,78.37,83,94,10.4
53,Cape Town,ZA,2022-02-12 23:35:45,-33.9258,18.4232,69.89,78,20,1.99
54,Hashtrud,IR,2022-02-12 23:35:45,37.4779,47.0508,18.23,98,83,3.42
55,New Norfolk,AU,2022-02-12 23:35:46,-42.7826,147.0587,70.88,45,99,4.5
56,Jamestown,US,2022-02-12 23:31:39,42.097,-79.2353,22.3,51,100,9.22
57,Tasiilaq,GL,2022-02-12 23:35:46,65.6145,-37.6368,8.76,65,100,4.38
58,Hualmay,PE,2022-02-12 23:35:47,-11.0964,-77.6139,71.58,79,54,7.87
59,Mar Del Plata,AR,2022-02-12 23:35:47,-38.0023,-57.5575,64.09,73,40,11.5
60,Katsuura,JP,2022-02-12 23:31:36,35.1333,140.3,43.2,60,68,2.44
61,Kavieng,PG,2022-02-12 23:33:54,-2.5744,150.7967,82.26,74,100,3.51
62,Severo-Kurilsk,RU,2022-02-12 23:35:49,50.6789,156.125,24.26,73,49,5.5
